arch,code_hash,ithemal-og_cycles,llvm-rthroughput_cycles,reg_cycles,tsf_cycles
haswell,0f1f004983c7104c39fd,98.000000,1,94.3544,99.4586
haswell,0f1f00498b7638498d7e284d8b26,97.000000,1,123.1477,104.1875
haswell,0f1f004c8b7500,49.000000,1,58.4964,48.6106
haswell,0f1f004d85db,60.000000,1,56.2658,48.2249
haswell,0f1f00807bf84f,51.000000,1,58.7398,48.6476
haswell,0f1f008338ff,61.000000,1,59.3407,48.4049
haswell,0f1f008b0383c00283f801,137.000000,1,120.4073,106.3216
haswell,0f1f008b9424b80000003b9424bc000000,105.000000,1,103.3074,99.4490
haswell,0f1f00c74008000000004883c0104839c2,103.000000,1,128.5473,107.2777
haswell,0f1f00f60304,60.000000,1,59.7895,48.0546
haswell,0f1f40004531f64531e44d85f6,117.000000,1,109.8495,98.8668
haswell,0f1f40004883c4205b5d415c,198.000000,1,181.9026,206.3161
haswell,0f1f40004889df4883c350,99.000000,1,92.3561,98.8840
haswell,0f1f4000488b7424304c89ea4c89ff,99.000000,1,109.5041,89.6127
haswell,0f1f4000488bb5e0feffff488b8580feffff488bbda0feffff488b95f8feffff4c8b85d8feffff4801f0488975c04839c748898598feffff4989c4488b8578feffff4c0f4ee74883ec084929f4488bbd70feffff488bb5d0feffff6a004531c94c89e148898530ffffff48894590488b8538ffffff4c89a5f0feffff48894598488b8540ffffff488945a0488b8548ffffff488945a8488b8550ffffff488945b0488b8590feffff488945b8,1094.000000,1,492.3876,1144.9886
haswell,0f1f40004983c510498b7d084839c7,93.000000,1,122.8976,106.4784
haswell,0f1f4000498bbc24800000004889de,94.000000,1,83.1566,76.3626
haswell,0f1f4000498d34d4488b160fb64a02f6c101,598.000000,1,142.7236,139.3804
haswell,0f1f40004c8b084c8b50084883c0104c8948e04c8950e84883e901,199.000000,1,263.5444,207.1130
haswell,0f1f40004c8b20488b437048394378,147.000000,1,152.3311,164.9422
haswell,0f1f40004d8b7f184d85ff,400.000000,1,85.4910,98.2355
haswell,0f1f400085ed,73.000000,1,58.9518,56.2740
haswell,0f1f400089c2c1e8074883c10183ca808851ff83f87f,233.000000,1,245.8345,215.9148
haswell,0f1f400089c848c1e9074883c60183c8808846ff4883f97f,198.000000,1,239.4249,203.6714
haswell,0f1f40008b108d8affffff7f83f9fd,99.000000,1,114.1383,101.8184
haswell,0f1f4000ba03000000be180000004531ed,105.000000,1,107.3804,100.1966
haswell,0f1f4000c4c17a10048bc5fa5806c4c17a11048a4883c1014939c9,166.000000,1,179.2312,163.8627
haswell,0f1f4000c4e27918442430c5d859e0c4c17811274c89e0482b4424484889c5488d34ae48c1e002488d3c874983c7100f1f44000049f7c502000000,508.000000,1,387.8111,360.4115
haswell,0f1f4000c5fb104c2430488b4c24204d89e1488b7c242831d231f6c4c17359450041b80100000048c74424100000000048c74424080000000048c70424010000004883c3014d01fd4d01f4,472.000000,1,489.2795,183.5407
haswell,0f1f4400004131c7d1e84485f8,101.000000,1,121.5396,114.4679
haswell,0f1f4400004489c82244242f4584e488442460,132.000000,1,148.7767,206.2590
haswell,0f1f4400004489eabe010000004c89e7,99.000000,1,108.2288,92.3678
haswell,0f1f4400004881c4680100005b5d415c415d415e415f,389.000000,1,331.9750,331.2405
haswell,0f1f4400004885d24c0f45e2,98.000000,1,103.7189,99.9146
haswell,0f1f440000488b03488d7c2410488d14004885c04889d0480f44c5488903,819.000000,1,270.8232,293.8365
haswell,0f1f440000488b42100fb70083e80d6683f801,135.000000,1,139.3828,132.6626
haswell,0f1f440000488b45304531c04889ea4c89f74183c401488b0c18488b81d00000008b7004,230.000000,1,287.2460,225.1847
haswell,0f1f440000488b8518fdffff8b481c488bbdf0fcffff8d7101,155.000000,1,156.2493,179.2536
haswell,0f1f440000488b9548050000488b42304885c0,117.000000,1,112.2546,108.6945
haswell,0f1f440000498b7d004983c508,101.000000,1,93.2074,99.8034
haswell,0f1f4400004c39f3,48.000000,1,55.7143,49.1095
haswell,0f1f44000089ee,52.000000,1,55.1907,57.1357
haswell,0f1f4400008b8c24b800000085c9,97.000000,1,88.7712,98.5731
haswell,0f1f8000000000440f5ac4440f5acd440f5ad6440f5adff20f1026f20f106e08f20f107610f20f107e1866450f59c066450f59c966450f59d266450f59db66410f58c066410f58c966410f58d266410f58db4883c62048ffc8,801.000000,1,489.2647,868.4133
haswell,0f1f80000000004531ed31c94c8bb5200100004d85f6,135.000000,1,144.6193,129.3974
haswell,0f1f80000000004539f9,60.000000,1,55.9180,46.7765
haswell,0f1f80000000004883c304448b034139c8,115.000000,1,124.4552,103.0271
haswell,0f1f80000000004883c3084c39e3,55.000000,1,93.7333,99.4542
haswell,0f1f80000000004883c43889d85b5d415c415d415e415f,304.000000,1,354.4418,325.3817
haswell,0f1f80000000004889ef4889de4883c510,105.000000,1,119.2204,99.5247
haswell,0f1f8000000000488b03488944242048634030488d1480488d1450488b4508488d04d083781cff,242.000000,1,278.8911,280.2478
haswell,0f1f8000000000488b104883faf8,99.000000,1,86.3467,97.4834
haswell,0f1f8000000000488b43304889ea4889df4a8b34204983c408,155.000000,1,178.7542,143.3090
haswell,0f1f8000000000488b4dc86448330c25280000004c89e8,143.000000,1,113.6574,104.1223
haswell,0f1f8000000000488b50100fb71283ea0d6683fa01,132.000000,1,138.8267,126.4260
haswell,0f1f8000000000488b50184883ca04,91.000000,1,94.6291,91.7808
haswell,0f1f8000000000488b5b084885db,399.000000,1,84.7969,98.8492
haswell,0f1f8000000000488b7c2428,75.000000,1,58.3533,49.5134
haswell,0f1f8000000000488d7b084883c328,99.000000,1,92.3346,99.3606
haswell,0f1f80000000004c39e2,58.000000,1,56.9432,48.3988
haswell,0f1f80000000004c63024883e8014801ca4c89074801f74883f8ff,1526.000000,1,233.0032,189.4152
haswell,0f1f8000000000803800,60.000000,1,59.3407,48.4049
haswell,0f1f8000000000c5f81047c0c4e2791856f0c4e279185ef4c4e279b8e2c4e279b8f3c4e2791856f8c4e279185efcc46279b8c2c46279b8d3c4e2791816c4e279185e04c46279b8e2c46279b8f34883c6184883c71048ffc8,548.000000,1,491.7480,522.1938
haswell,0f1f840000000000410fb7442418,86.000000,1,58.5097,51.8845
haswell,0f1f840000000000483b28,71.000000,1,64.5364,51.0394
haswell,0f1f8400000000004881c4980000004889d85b5d415c415d415e415f,341.000000,1,355.5452,328.2713
haswell,0f1f84000000000048833c2400,77.000000,1,58.9562,51.1781
haswell,0f1f8400000000004883eb18837b0840,112.000000,1,97.5872,100.7781
haswell,0f1f8400000000004889ef,67.000000,1,54.7516,49.6911
haswell,0f1f840000000000488b0a80791017,100.000000,1,102.1544,99.7316
haswell,0f1f840000000000488b5b084885db,399.000000,1,84.7017,98.4899
haswell,0f1f840000000000488bbc24480100004885ff,118.000000,1,86.1122,99.6193
haswell,0f1f84000000000048c700f8ffffff4883c0104839c2,135.000000,1,130.5031,106.0256
haswell,0f1f84000000000048f7c70f000000,93.000000,1,56.5510,51.5045
haswell,0f1f8400000000004983c43f4889da4c89fe4c89f749c1ec06,200.000000,1,183.0195,152.9122
haswell,0f1f840000000000498b3731c989c24889ef4983c708,173.000000,1,174.6077,165.2134
haswell,0f1f840000000000498b3c244c39d7,100.000000,1,85.7316,98.3862
haswell,0f1f840000000000498d6fe84d85ffba030000004c89f64889df490f44ed4531c031c9,299.000000,1,270.3063,307.7551
haswell,0f1f8400000000004c89ef4981c560010000,108.000000,1,92.2387,99.0103
haswell,0f1f8400000000004c89f04c89fa4883c4685b5d415c415d415e415f,397.000000,1,372.6241,339.3649
haswell,0f1f8400000000004d8b7f084c397c2438,399.000000,1,102.1274,99.4043
haswell,0f1f84000000000089e8488b3cc14885ff,105.000000,1,115.3980,112.2380
haswell,0f1f8400000000008b0383c00283f801,98.000000,1,120.4803,110.3573
haswell,0f1f8400000000008b5504488b4028418b8c2498000000498bb424880000004c8b3cd08b550085c9488b04d04889442410,1087.000000,1,373.6134,373.6897
haswell,0f1f840000000000bf000200004883c308,105.000000,1,92.4404,99.2045
haswell,0f1f840000000000c4e27d19442430c4e27d194c2438c44135c6c905c44115c6ed05c4413dd0c1c4411dd0e5c4413dc6c805c4411dc6ec05c4417d59c0c4417d59e4c4417559c9c4417559edc4413dd0c1c4411dd0e5c4417c1107c4417c1167204c89e0482b4424504889c5488d2c6d00000000488d34ee48c1e003488d3cc74983c74049ffcb,1242.000000,1,491.7919,1328.7040
haswell,0f284180410f284980410f2941800f2949804883c1104983c1100f1f44000048f7c701000000,235.000000,1,263.0238,253.6683
haswell,0f284c0e10f30f7f240f660f74c1660fd7d04883c1104983e810,164.000000,1,194.3669,178.4228
haswell,0f28c3,52.000000,1,50.9953,97.8436
haswell,0f2941800f2949900f2951a00f2959b00f2961c00f2969d00f2971e00f2979f04883e9804883ee8048f7c710000000,824.000000,1,490.2458,684.6286
haswell,0f2ec80f96c00f93c238d0,301.000000,1,134.0935,269.0032
haswell,0f57c94c89ca4531ff0f28c10f1f440000f30f10120fc6d2000f28180f59da0f5950100f58cb0f58c2f30f1052040fc6d2000f2858200f59da0f5950300f58cb0f58c2f30f1052080fc6d2000f2858400f59da0f5950500f58cb0f58c2f30f10520c0fc6d2000f2858600f59da0f5950700f58cb0f58c2f30f1052100fc6d2000f2898800000000f59da0f5990900000000f58cb0f58c2f30f1052140fc6d2000f2898a00000000f59da0f5990b00000000f58cb0f58c2f30f1052180fc6d2000f2898c00000000f59da0f5990d00000000f58cb0f58c2f30f10521c0fc6d2000f2898e00000000f59da0f5990f00000000f58cb0f58c24883c2204805000100004983c7084c39fd,1787.500000,1,491.6243,1331.9213
haswell,0f6e020f6e4a030f7e070f7e4f034801f74801ca49ffc9,1723.000000,1,279.0187,599.6257
haswell,0f92c0,85.000000,1,40.6972,98.8173
haswell,0faef848c785080a000000000000c685000a000000,799.000000,1,202.4013,202.6831
haswell,0fafd381fa00000080,301.000000,1,108.8651,99.0321
haswell,0fb600488b7c240841c1e50348895c24104c896424204531f6bd080000004889fb83e0fc83c804418807418b0783e0074409e84d89e54189074883471001418b0424,2796.000000,1,491.3222,901.6460
haswell,0fb60348c1e2074883c30283c08048984801d048895d00ba010000004883c4405b5d415c,531.000000,1,421.0609,313.2722
haswell,0fb603498d6d013c5c,99.000000,1,86.9129,98.9232
haswell,0fb604244883c4185b5d83f001,213.000000,1,166.5488,206.0109
haswell,0fb6078d505f80fa01,103.000000,1,88.5635,99.2405
haswell,0fb608f6c101,61.000000,1,58.9061,52.2710
haswell,0fb60c03458d47014963c14189d74d63c041880c02420fb60c03418d41024183c1014d63c943880c0a4863ca0fb60c0b448d480148984183c70141880c02418d570239d5,998.000000,1,485.8300,575.5598
haswell,0fb60f440fbec14139f0,99.000000,1,96.3090,99.5370
haswell,0fb61031ff83ea0483fa1b480f42f8,199.000000,1,146.0679,204.0177
haswell,0fb610488d7c2410b90100000083e2e383ca0488108b5500488b7338,698.000000,1,290.8174,680.3648
haswell,0fb61383e210,60.000000,1,64.3539,51.6665
haswell,0fb61389d783e707,99.000000,1,93.6027,98.4626
haswell,0fb614074489f083e0070fa3c2,200.000000,1,121.0333,306.6887
haswell,0fb6164883c60183c2804863d248d3e283c1074801d083f923,299.000000,1,278.9219,318.1221
haswell,0fb6308d568780fa07,106.000000,1,88.9997,99.2814
haswell,0fb634114080fe2f,49.000000,1,54.8961,49.0928
haswell,0fb63840f6c740,49.000000,1,54.8737,49.1832
haswell,0fb6401083e82283f838,598.000000,1,96.8523,99.2978
haswell,0fb640108844241083e8383c01,590.000000,1,129.6463,106.8702
haswell,0fb64101a803,73.000000,1,55.3577,53.7611
haswell,0fb64102a81c,74.000000,1,55.3577,53.7611
haswell,0fb641103c4f,73.000000,1,55.3634,56.7807
haswell,0fb6421083e0fd3c0d,106.000000,1,96.2081,99.3264
haswell,0fb6421283e00783f8030f94c084c0,200.000000,1,157.6951,205.7238
haswell,0fb643014183e70348896b084501ff83e0f94409f88843014883c4084889d85b5d415c415d415e415f,717.000000,1,483.0022,601.8356
haswell,0fb643014885c9488953080f95c28d3c1283e0fd09f884d2884301,700.000000,1,428.9937,683.5290
haswell,0fb643020fb65303c0e8024801da83e0014883c001488d04c28b53104889c34c8d24d04c39e0,903.000000,1,316.6962,311.2994
haswell,0fb643023c04,73.000000,1,55.3619,56.4455
haswell,0fb643024c8b6b10c0e8023c3c,124.000000,1,115.3895,106.2358
haswell,0fb64302806301014c8d731048c743080000000048c743100000000048c743180000000048c743200000000089c283e2fc4585ed885302,601.000000,1,486.6338,782.8746
haswell,0fb6430883c06283e07f3c03,148.000000,1,121.1208,131.1687
haswell,0fb643094c8b43500fb753120fb77316c744242c000000004d8d7400054d8d4c0006448d1472450fb62e410fb61141c1e5084109d54539ea,350.000000,1,431.1463,609.0315
haswell,0fb6430c4889dfc6839800000001c683a900000001c683a80000000148c743302a00000083e09f83c82088430c48894328,742.000000,1,488.8728,908.0981
haswell,0fb6430c4889ef4889de48c74330600000004883c51083e09f83c82088430c48894328,707.000000,1,396.0081,678.2708
haswell,0fb643103c05,73.000000,1,55.3619,56.4455
haswell,0fb6431083e82583f811,99.000000,1,96.8520,99.0565
haswell,0fb643110fb655114889de4889ef31c983e0fe83e20109c288551131d2,699.000000,1,333.4805,750.6467
haswell,0fb6431c83e07f83f818,99.000000,1,96.5217,99.1484
haswell,0fb6431c89d583e07f83e82d83f802,178.000000,1,147.0834,138.6526
haswell,0fb6432083e03f83c88088432083e00f8d500e83e20f80fa03,700.000000,1,281.0524,722.4344
haswell,0fb643434889ef0fbef0,78.000000,1,90.7658,81.0377
haswell,0fb643e883e00f8d500e83e20f80fa03,148.000000,1,150.3605,138.3597
haswell,0fb64424202244241888442420,700.000000,1,123.5093,241.1518
haswell,0fb64424260844242784c0,687.000000,1,98.0704,642.6260
haswell,0fb64424274881c4a80200005b5d415c415d415e415f,513.000000,1,359.5871,346.5514
haswell,0fb64424283c0e,54.000000,1,55.3662,55.3496
haswell,0fb64424284881c4b80100005b5d415c415d415e415f,461.000000,1,359.5871,346.5514
haswell,0fb644242f4881c4d80000005b5d415c415d415e415f,399.000000,1,359.5871,346.5514
haswell,0fb6442443488b5424384531c04889ee4c89ff48896c24704188873d0b0000,199.000000,1,213.5337,203.6891
haswell,0fb645004883c4085b5d,199.000000,1,163.2342,187.6137
haswell,0fb6450083f876,56.000000,1,55.7771,49.4979
haswell,0fb64502a802,73.000000,1,55.3566,53.4147
haswell,0fb6450883f809,56.000000,1,55.7377,49.1981
haswell,0fb645108d50b380fa01,97.000000,1,88.6337,99.1934
haswell,0fb6451783e04084c0,107.000000,1,96.3660,99.1948
haswell,0fb6451c4d8b6d3083c04883e07f3c01,398.000000,1,140.4170,139.7291
haswell,0fb64653488b742418c0e80283e001807e5700,175.000000,1,158.0620,150.4452
haswell,0fb646f8488b5e0883e81883f838,110.000000,1,115.7432,100.7611
haswell,0fb64701a80c,74.000000,1,55.3600,54.1891
haswell,0fb647028d48bf8d502083f9190f46c2489848c1e0104809c60fb647018d48bf8d502083f9190f46c2489848c1e0084809c60fb6078d48bf8d502083f9190f46c248984809c64931f14d01c3c4c3fbf0d0334c31da4d01cac4c3fbf0c1304c31d0c443fbf0db204901d2c4e3fbf0d22f4901c3c4e3fbf0c02b4c31d2c443fbf0d2204c31d84180f2ff4c31de498d0c024801d6c4e3fbf0c030c4e3fbf0d2334831f24831c8c4e3fbf0f6204801c64801d1c4e3fbf0c02bc4e3fbf0d22f4831f04831cac4e3fbf0c9204801c14801d6c4e3fbf0c030c4e3fbf0d2334831c84831f2c4e3fbf0c02b4801d1c4e3fbf0d22f5b4831c8c4e3fbf0c9205d4831d0415c4831c8415d,2600.000000,1,491.7700,783.2123
haswell,0fb64702c0e8020fb6c083f817,124.000000,1,118.6858,110.8779
haswell,0fb6470cc0e80683f00183e001,129.000000,1,123.5722,106.6907
haswell,0fb647103c37,75.000000,1,55.3657,56.5926
haswell,0fb6471101f683e00109f0884711,698.000000,1,203.9926,679.4225
haswell,0fb6471283e0f883c80388471231c04883c408,700.000000,1,205.6053,670.3961
haswell,0fb6471783e040,57.000000,1,63.3254,50.2153
haswell,0fb6471c83e07f83e83d83f801,134.000000,1,121.2204,120.3033
haswell,0fb64801440fb6400241c1e606c1e60783e3034501ed01db4c8960084889681083e13f4183e0fc4409f14109d009f14509e883e1c14488400209d988480141c6874d050000014883c4185b5d415c415d415e415f,1005.000000,1,491.7346,681.7664
haswell,0fb64810488b550080f910,99.000000,1,99.3971,99.2411
haswell,0fb64a1083e81883e91839c1,148.000000,1,123.7531,110.2642
haswell,0fb64a1083e91839ce,107.000000,1,98.5150,99.1841
haswell,0fb64a1c83e17f8d41e283f803,129.000000,1,117.3154,108.8219
haswell,0fb64b0141384f01,99.000000,1,98.0675,98.7092
haswell,0fb64b020fb6d1c1e20e84c98d841000c0ffff488d5303,299.000000,1,180.8214,204.7436
haswell,0fb64b10488b43d083e92583f911,110.000000,1,116.8688,102.2400
haswell,0fb64b11488b53084883c4084889df4889ee5b5d,226.000000,1,225.4537,215.0822
haswell,0fb64b244885c0be590100000f95c04c89f789ca83e1fdd0ea83e20109d001c009c1884b24,1007.000000,1,485.5375,853.1527
haswell,0fb64c2418448b4424104889df488b542408488b3424,197.000000,1,202.1021,168.1673
haswell,0fb64c245f,47.000000,1,48.4793,46.6920
haswell,0fb64c246041bd01000000c60424004c8d7c246089ce,135.000000,1,143.8208,160.5686
haswell,0fb64d0848630c8a4801d1,99.000000,1,99.7980,99.5102
haswell,0fb64d1080f917,57.000000,1,59.1644,51.1830
haswell,0fb64f0883e17f83f94b,97.000000,1,97.4834,99.4028
haswell,0fb64f0a41ba0100000041b8ffffff7f4489d04863d24901d54c896b08d3e0448d4c05ff4489c09941d3f9418b4c240441f7f939c1,1971.000000,1,480.7842,1078.5944
haswell,0fb64f184d89c24c89cd84c9,125.000000,1,116.0646,106.9522
haswell,0fb64f190fb6471a440fb64f1c440fb6471bbf92feffffc1e10809c18d71ff83feff,247.000000,1,261.6317,662.3449
haswell,0fb64f19488b7708488b174889df,147.000000,1,147.1240,49.6883
haswell,0fb650024501f64183e5018060010141c1e50248895808488968104489600483e2fc4409fa4409f283e2fb4409ea8850024881c4980000005b5d415c415d415e415f,1001.000000,1,491.5146,710.2209
haswell,0fb65003f6c201,57.000000,1,56.6763,51.0611
haswell,0fb6500c48c700000000004489600883e2f883ca0988500c4883c4105b5d415c415d415e,700.000000,1,471.3839,698.1682
haswell,0fb650104c8b65e880fa1a4c0f44e841807c241010,199.000000,1,171.4778,100.6404
haswell,0fb6501080fa1a,56.000000,1,56.8100,50.2829
haswell,0fb6501138ca,73.000000,1,60.1688,57.0622
haswell,0fb6501c83e27f83fa0e,97.000000,1,97.6169,99.4679
haswell,0fb6521049635495004c01ea,1098.000000,1,99.8010,99.4179
haswell,0fb6530383e001be80030000c1e0054c89f783e2df09c2885303,697.000000,1,300.4769,720.9995
haswell,0fb653108d42c283f80c,97.000000,1,88.2276,98.8750
haswell,0fb6531183ca108853110fb6451183e21fc0e80589c1c1e10509ca8853110fb64d120fb6531283e10183e2fe09ca8853125b5d415c,1307.000000,1,491.3599,664.9652
haswell,0fb6531d0fb6451d4889ee83e20283e0fd09d088451d0fb6531d83e09f83e26009d088451d498b7c2418,897.000000,1,485.3504,832.8400
haswell,0fb6532183e00189ee4c89e783e2fe09c2885321ba38000000,699.000000,1,268.5658,702.5963
haswell,0fb6535383e0014c89ff01c083e2fd09c2885353498b474883807433000001498d45404889c64889442468,719.000000,1,423.3482,736.5660
haswell,0fb6536583e0014c89f74889ee83e2fe09c2885365ba57050000,697.000000,1,268.4655,714.3336
haswell,0fb654060384d2,56.000000,1,58.2023,55.2269
haswell,0fb65424260a542427,100.000000,1,97.8012,635.9222
haswell,0fb6542454894424284589e8f30f6f8424e01900004c89e1488b442448448b4c24504889eff30f7f0424488b742440895424304889da4c897c24204c897424184889442410,599.000000,1,490.6703,635.1302
haswell,0fb654246038d0,56.000000,1,56.6405,57.9251
haswell,0fb6542470b80100000088d4,74.000000,1,84.8976,179.8111
